,login,created_at,today_at,age_in_days
0,Zadagu,2012-10-06,2024-01-11,200.0
1,phoracek,2013-02-06,2024-01-11,158.0
2,morganholly,2022-01-26,2024-01-11,127.0
3,werman,2013-03-28,2024-01-11,119.0
4,cosinekitty,2015-03-28,2024-01-11,320.0
5,jarkkojs,2009-08-05,2024-01-11,120.0
6,hectorbennett,2016-11-07,2024-01-11,449.0
7,xuan25,2017-06-27,2024-01-11,150.0
8,fredguest,2011-10-22,2024-01-11,442.0
9,gregkare,2008-12-30,2024-01-11,119.0
10,ahihi,2011-04-19,2024-01-11,887.0
11,azur1s,2020-11-05,2024-01-11,785.0
12,tiborvass,2011-06-03,2024-01-11,207.0
13,tobiashienzsch,2018-07-15,2024-01-11,741.0
14,crowbait,2017-08-31,2024-01-11,647.0
15,Henry00IS,2014-06-16,2024-01-11,1645.0
16,khrykin,2013-10-13,2024-01-11,976.0
17,christofmuc,2013-07-14,2024-01-11,349.0
18,BrunoVernay,2009-09-28,2024-01-11,1216.0
19,KaiMikkelsen,2018-09-28,2024-01-11,1655.0
20,audetto,2010-02-28,2024-01-11,769.0
21,TimoSalomaki,2012-06-04,2024-01-11,280.0
22,dsp-re,2022-12-04,2024-01-11,411.0
23,XieJiSS,2016-12-20,2024-01-11,231.0
24,Andreya-Autumn,2022-05-14,2024-01-11,124.0
25,alessio,2010-03-24,2024-01-11,643.0
26,Bleakill,2018-01-17,2024-01-11,522.0
27,unlessgames,2018-04-25,2024-01-11,601.0
28,Flixor,2019-03-19,2024-01-11,355.0
29,iv-m,2016-01-06,2024-01-11,757.0
30,HarrisonBubbles,2019-05-29,2024-01-11,204.0
31,nozomimiyamori,2018-02-16,2024-01-11,403.0
32,matdombrock,2012-03-06,2024-01-11,174.0
33,artfwo,2011-03-25,2024-01-11,1102.0
34,amyfurniss,2015-02-10,2024-01-11,1205.0
35,stfufane,2016-06-20,2024-01-11,138.0
36,SimonZimmer,2017-05-03,2024-01-11,1102.0
37,maxwellmattryan,2018-11-09,2024-01-11,264.0
38,abique,2008-10-27,2024-01-11,141.0
39,emanuelemessina,2017-09-02,2024-01-11,691.0
40,MeijisIrlnd,2018-04-09,2024-01-11,212.0
41,essej,2012-04-25,2024-01-11,159.0
42,insomnimus,2020-10-19,2024-01-11,923.0
43,drobilla,2010-08-12,2024-01-11,633.0
44,FangCunWuChang,2018-07-05,2024-01-11,736.0
45,soerensen3,2014-07-30,2024-01-11,719.0
46,mtmccrea,2011-07-18,2024-01-11,232.0
47,ArtemPopof,2013-08-04,2024-01-11,166.0
48,mpusch88,2015-03-12,2024-01-11,227.0
49,hannesbraun,2018-03-21,2024-01-11,945.0
50,Spiffyk,2012-07-25,2024-01-11,123.0
51,vgorloff,2013-01-06,2024-01-11,972.0
52,igorski,2011-04-14,2024-01-11,593.0
53,notwa,2012-02-22,2024-01-11,480.0
54,YeshiNamkhai,2013-06-29,2024-01-11,1340.0
55,asimilon,2013-11-18,2024-01-11,866.0
56,FigBug,2011-12-17,2024-01-11,508.0
57,Mrugalla,2019-09-05,2024-01-11,121.0
58,stephanvalentan,2020-01-15,2024-01-11,141.0
59,waddafunk,2019-10-23,2024-01-11,229.0
60,con-f-use,2015-02-22,2024-01-11,147.0
61,ChromaticIsobar,2014-11-13,2024-01-11,225.0
62,kesara,2011-09-05,2024-01-11,1140.0
63,pkstone,2014-03-05,2024-01-11,654.0
